網傳以核廢水排入海後之海水製鹽，可能導致海鹽含有輻射氚，引起大陸、韓國的囤鹽潮，台灣也出現民眾的搶購，我們真的有需要搶買鹽嗎？,112.08.30,衛生福利部食品藥物管理署
引領未來！第三屆金牌農村全國競賽正式起跑！,112.08.30,農業部農村發展及水土保持署
雲林濱海觀光新體驗 口湖向野而生海口祭,112.08.29,農業部農村發展及水土保持署
揪你來 選購國產水果拜拜正當時,112.08.26,農業部農糧署
食米界最強十大揭曉 「精饌米獎」給您最好吃的臺灣米,112.08.25,農業部農糧署
政府完整把關稻米安全 消費者安心食用,112.08.25,農業部農糧署
「鱻旅奇緣-大魚樂家」親子園遊會在臺中科博館初登場！,112.08.25,農業部漁業署
親子共推環境永續 石虎友善飯糰上市,112.08.24,農業部農糧署
新鱻作伙夯！漁業署「中秋全臺買透透燒烤組合」開賣,112.08.24,農業部漁業署
青年好點子，「徵」的就是你！ 「113年青年回鄉行動獎勵計畫」徵件啟動囉！,112.08.23,農業部農村發展及水土保持署
全家X楓康攜手 熱烈推出全臺十大產區產銷履歷拾柚文旦禮盒,112.08.23,農業部農糧署
以藝術凝聚心靈，以友善漁法守護海洋 『廢廢生活節』暨『亞洲最大牽罟節』精彩登場,112.08.18,農業部農村發展及水土保持署
都會區的綠色夏日！ 市集消費樂趣多！友善小農、食農體驗豐盛登場。,112.08.18,農業部農村發展及水土保持署
品嚐各國當地美食 為旅行加分,112.08.17,行政院食品安全辦公室
極致鱻禮第十屆 真心十意饌海宴,112.08.16,農業部漁業署
大蒜種植知多少-蒜苗居家栽培,112.08.16,農業部臺南區農業改良場
茶改場推出速萃調飲茶新型加工技術 次世代健康調飲茶新上市,112.08.14,農業部茶及飲料作物改良場
國產紅豆頂級色香味又安全，消費者可安心選購享用,112.08.12,農業部農糧署
食藥署啟動「112年度豆製品製造業稽查專案計畫」,112.08.11,衛生福利部
集集山城心食旅 用五感品味小鎮風情,112.08.11,農業部農村發展及水土保持署
村是遊戲小島! 跟著建築園冶獎走進大崎村落創藝基地玩創意,112.08.09,農業部農村發展及水土保持署
學習滿滿，原鄉料理創意無極限 臺東場辦理「找回原力部落行動學堂」,112.08.09,農業部臺東區農業改良場
酸V～呀酸V~ 文旦的美味搶先品嚐,112.08.02,農業部花蓮區農業改良場
提升食農教育基礎知能 臺東農改場辦理「112年食農教育宣導人員基礎培訓初階班課程」,112.08.02,農業部臺東區農業改良場
臺灣米標章人氣品牌網路票選 引爆夏日米食饗宴！,112.08.01,農業部農糧署
林下原食─原民飲食文化小旅行,112.07.31,農業部林業及自然保育署
8月1日至12月31日禁捕、禁售、禁撕卵抱卵母蟹 一起維護蟳蟹資源,112.07.28,行政院農業委員會漁業署
手搖飲標示的秘密,112.07.27,行政院食品安全辦公室食品安全資訊網
2023梨好福氣！阿梨邀你來梨之鄉採收幸福、滿載而歸,112.07.27,行政院農業委員會水土保持局
荒地變身滿滿人情味的綠色客廳 梧北村食農場域獲建築園冶獎肯定,112.07.27,行政院農業委員會水土保持局
阿里山限定文創商品 線上開賣啦！,112.07.27,行政院農業委員會林務局
2023新埔水梨節,112.07.21,農業易遊網
2023臺南七股海鮮節,112.07.21,農業易遊網
2023桃園蓮花季,112.07.21,農業易遊網
打造宜居宜業宜遊農村 展現施政新動能,112.07.21,行政院農業委員會水土保持局
蜂狂席捲全臺 「2023蜂盛人生 行銷推廣市集」點燃夏日熱情,112.07.21,行政院農業委員會農糧署
首本國產材主題創作繪本 《外公家的小木貓》出版上市,112.07.19,行政院農業委員會林務局
「農村 Chill High High」 遠百夏日採GO趣,112.07.14,行政院農業委員會水土保持局
漁業署攜手大潤發 「臺灣養殖魚」夏日享鱻嚐,112.07.13,行政院農業委員會漁業署
紅豆控快來 2023年國產紅豆烘焙創意競賽得獎產品限時上架囉!,112.07.12,行政院農業委員會農糧署
會喝水的盆栽：省水菜箱,112.07.10,行政院農業委員會林務局
推動屠宰場肉品衛生安全管制系統（HACCP） 建立現代化屠宰場,112.07.07,行政院農業委員會動植物防疫檢疫局
地產地消十年有成 農糧署攜手農會帶領小農做頭家,112.07.07,行政院農業委員會農糧署
鰲鼓濕地「蝠」滿園,112.07.06,行政院農業委員會林務局
百億預算導入冷鏈 翻轉農漁畜產業全面升級,112.07.05,行政院農業委員會農糧署
跨國藝術交流 《山林裡的動物》臺日藝術特展 傳遞人與動物的共生未來,112.07.04,行政院農業委員會林務局
「萬物糧倉大地慶典-漂鳥197」縱谷大地藝術季開展 促進縱谷地方經濟打響萬物糧倉慶典品牌力,112.07.04,行政院農業委員會水土保持局
2023臺灣芒果季－臺南國際芒果節,112.07.03,農業易遊網
芒果樂園饗一夏 好吃好玩買回家,112.07.01,行政院農業委員會農糧署
第二屆【豬豬小偵探】國產豬肉學習單創作比賽開跑！,112.06.27,行政院農業委員會畜牧處
【盛夏食農趣-大富翁遊臺灣】開跑囉！快去玩遊戲、抽好禮！,112.06.27,食農教育資訊整合平臺
臺灣農村前進日本富山 展現食農教育成果,112.06.27,行政院農業委員會水土保持局
2023基隆鎖管季,112.06.26,農業易遊網
鳳梨纖維成就時尚,112.06.26,農村風情網
【農情巧藝 巧克力饗宴】展現屏東可可獨特風味,112.06.22,行政院農業委員會水土保持局
端午節前蔬果供應充裕 農糧署籲請消費者安心採購,112.06.16,行政院農業委員會農糧署
粽夏新食感! 增添蔬果 健康少負擔,112.06.16,衛生福利部國民健康署
不用年節限定!國產OISHII紅豆料理 在學校餐桌上菜囉！,112.06.15,行政院農業委員會農糧署
真空包裝即食食品小知識,112.06.15,行政院食品安全辦公室
112年一日親子共學營報名開始,112.06.13,行政院農業委員會特有生物研究保育中心
2023世界海洋日漁業署共響應 傳承海洋生命 讓海洋迎向正面潮流,112.06.08,行政院農業委員會漁業署
林鐵FUN暑假 襲捲今夏,112.06.07,行政院農業委員會林務局
章Q水產品游進校園 午餐覆蓋率破九成,112.06.06,行政院農業委員會漁業署
漁業署「廉年有漁廣播體驗誠長營」 期許漁村小學畢業生勇敢堅毅誠信正直,112.06.02,行政院農業委員會漁業署
實踐善的起點從耕種開始 臺東場推廣食農教育洛神葵栽培課程,112.06.02,行政院農業委員會臺東區農業改良場
2023埔里親水節開幕啦 六足狂想曲帶您清涼過暑假,112.06.01,行政院農業委員會水土保持局
吃楊桃會導致腎功能變差嗎?,112.05.30,衛生福利部國民健康署
水土保持逗陣走　食農教育旺旺來,112.05.27,行政院農業委員會農業試驗所嘉義農業試驗分所
農委會5/27~5/28舉辦「食農教育Party Fun」食農教育成果展,112.05.27,行政院農業委員會輔導處
探索觸口奧秘的暑假冒險之旅：夏季森林職人營,112.05.26,行政院農業委員會林務局
農委會已要求業者加強洗選管理，確保食品安全,112.05.25,行政院農業委員會畜牧處
5/27、5/28農委會於華山1914文化創意產業園區-西1館舉辦「食農教育Party Fun」食農教育成果展，邀請您全家到場「讀好書」「知好農」「吃好食」一同Happy Fun！,112.05.24,行政院農業委員會輔導處
擴大國產雜糧自給率，生產、加工及行銷三面向並進升級,112.05.23,行政院農業委員會農糧署
農試所鳳山分所水保月水保健走闖關暨食農教育園藝DIY記者會活動順利圓滿完成,112.05.20,行政院農業委員會農業試驗所鳳山熱帶園藝試驗分所
飲食教育化身線上遊戲 快來挑戰「灃食市場」關卡！ ,112.05.18,灃食公益飲食文化教育基金會
《島嶼食紀》新書分享，繪整農村食文化！,112.05.18,行政院農業委員會水土保持局
茶改場歡慶120歲大驚喜 早鳥及活動好康禮大方送,112.05.17,行政院農業委員會茶業改良場
營養午餐跟著節氣走 新奇好玩樂無窮,112.05.17,行政院農業委員會農糧署
饗天然 最臺味 - 優質果乾開創疫後新商機,112.05.16,行政院農業委員會農糧署
2023全國米糧精品競賽開跑 獎金最高十萬等你拿,112.05.16,行政院農業委員會農糧署
農村好物與SOGO百貨合作舉辦「2023農村好物特展夏果．遊饗」展售活動,112.05.12,行政院農業委員會水土保持局
積極把關學校午餐蔬果食材 確保學童吃得安全安心,112.05.12,行政院農業委員會農糧署
漁業署攜手楓康推廣溫馨一夏享魚鮮美味,112.05.12,行政院農業委員會漁業署
衛福部與農委會攜手參訪糕餅業者，鼓勵民眾踴躍購買,112.05.11,衛生福利部
水保局食農教育夥伴大放異彩 紛紛獲國內外認證肯定,112.05.11,行政院農業委員會水土保持局
食藥署嚴格執行邊境牡蠣輸入查驗，確保民眾食用安全,112.05.05,衛生福利部食品藥物管理署
豆腐吃的巧不如吃的安全,112.05.04,行政院食品安全辦公室
食農展藝 瓜果爭豔,112.05.04,行政院農業委員會臺南區農業改良場
蕃薯村年年出狀元!閒置空地大變身，可騎鐵馬賞落花品蕃薯咖啡~,112.05.04,行政院農業委員會水土保持局
臺灣與澳洲舉辦農業商業論壇 開拓農業淨零碳排技術商機,112.05.03,行政院農業委員會國際處
「在欉黃ㄟ」檨仔 未必最好吃 不同品種適時採收 滋味最好,112.05.01,行政院農業委員會高雄區農業改良場
臺東場辦理小米講座 提升教師食農教育專業知能,112.04.26,行政院農業委員會臺東區農業改良場
帶小米回部落-傳統品系田間觀摩推廣行動,112.04.25,行政院農業委員會農業試驗所
文心蘭循環加值與省工作業示範觀摩 結合食農教育在臺中新社舉開,112.04.24,行政院農業委員會臺中區農業改良場
源泉故事屋週年慶 超夯優惠與農村低碳小旅行重磅登場,112.04.23,行政院農業委員會水土保持局
水試所發表命名為「臺灣文蛤」的世界新種,112.04.20,行政院農業委員會水產試驗所
產銷調節多元措施併行　鳳梨內外銷量質俱進,112.04.20,行政院農業委員會農糧署
跨世紀天糰雙霸上市 這些地方買得到,112.04.20,行政院農業委員會農糧署
來自賽夏山林的古老傳說 林務局推出暖心原住民生態繪本《苔蘚兄妹》,112.04.20,行政院農業委員會林務局
加工鮮食兩相宜，食在好味-馬鈴薯種苗6號介紹,112.04.19,行政院農業委員會種苗改良繁殖場
2023投資地球「淨零綠家園·蔬食無痕家庭日」 一起用綠行動投資地球,112.04.16,行政院環境保護署
國產鳳梨鬥陣來 產地縣市聯合展售記者會,112.04.15,行政院農業委員會農糧署
讀冊食飯作伙來　布袋廢校重生轉型綠色照顧場域再獲獎,112.04.14,行政院農業委員會水土保持局
綠照顧・好未來 一齊守護農村老寶貝,112.04.13,行政院農業委員會水土保持局
食在種苗 吃出健康,112.04.12,行政院農業委員會種苗改良繁殖場
吃出綠食力 統一超商齊心協「歷」挺安心,112.04.11,行政院農業委員會農糧署
嘉義優鮮蜜蜂,112.04.10,嘉義縣農會
文山農場-2023螢火蟲季,112.04.10,新北市農會
藏水於農孕生機 峨眉無負擔社區活化苦茶體驗園區農塘獲肯定,112.04.10,行政院農業委員會水土保持局
原味覺醒！野菜展第二季 來保育小站品嚐大地饗宴,112.04.08,行政院農業委員會林務局
漁業署攜手全聯邀您一起吃好魚友善地球,112.04.06,行政院農業委員會漁業署
鳳梨進入採收高峰期 產銷調節措施逐步奏效,112.04.06,行政院農業委員會農糧署
八仙山「童螢季」帶你沉浸星空與螢光交織的夜晚,112.04.06,行政院農業委員會林務局
國教署推「學校午餐大數據、營養烹調」 讓孩子吃得更健康,112.04.04,教育部
正確看待食品添加物，享受安全安心的飲食生活,112.04.03,衛生福利部
全方位打造孩子的自然冒險，羅東自然教育中心推出全新課程,112.03.31,行政院農業委員會林務局
全民票選心中最美漁港贏好禮 金鑑漁港就等你,112.03.31,行政院農業委員會漁業署
2023第一屆文旦手搖飲調製競賽 歡迎報名,112.03.31,行政院農業委員會花蓮區農業改良場
農委會確保國人農漁畜產品所需 維護糧食安全,112.03.30,行政院農業委員會畜牧處
鳳梨品嚐趁現在 農改場教您挑選食用小撇步,112.03.30,行政院農業委員會臺南區農業改良場
「蟳蟹腹甲不離身」 維護蟳蟹漁業資源一起來,112.03.29,行政院農業委員會漁業署
森林好物大集合 2023森林市集4/28-30華山草原重磅回歸,112.03.29,行政院農業委員會林務局
4月1日起【滿月圓螢火蟲季】起跑! 邀請你探訪迷人的螢光生物,112.03.28,行政院農業委員會林務局
臺灣鳳梨質量精進 每週外銷量達千公噸,112.03.28,行政院農業委員會農糧署
明日綠色主廚「農STAY」找尋永續農業解方,112.03.27,行政院農業委員會水土保持局
從「淨零綠生活」、「資源循環零廢棄」挑戰城市淨零 環保署攜手各界落實淨零轉型,112.03.25,行政院環境保護署
食農教育校園扎根，臺東場結合在地青農共同推動,112.03.25,行政院農業委員會臺東區農業改良場
首「惜」廚師甄選活動，廣邀各方惜食好手來挑戰！,112.03.24,行政院環境保護署
國產大豆產業蓬勃發展 供不應求,112.03.23,行政院農業委員會農糧署
減少食物浪費的秘訣,112.03.23,行政院食品安全辦公室
112年度「農林漁牧 升級進步」巡迴座談會,112.03.22,行政院農業委員會畜產試驗所
國產大蒜上市 新鮮優質請消費者多多選購,112.03.20,行政院農業委員會農糧署
60元幸福餐盒開賣！助實現零飢餓目標,112.03.20,行政院農業委員會水土保持局
Aveoveoyʉ茶山 從部落體驗認識保安林,112.03.19,行政院農業委員會林務局
雙流夜間生態好豐富，帶您一同夜訪神秘森林,112.03.17,行政院農業委員會林務局
在地小米異地保存，繁殖精選返還部落,112.03.16,行政院農業委員會臺東區農業改良場
大農大富螢光大道 螢漫平森正式開鑼,112.03.16,行政院農業委員會林務局
「植感上桌」體驗手作植物造型木餐盤3/20開始報名,112.03.15,行政院農業委員會林務局
奧萬大賞螢秘境～來去森林住一晚吧！,112.03.13,行政院農業委員會林務局
鳳梨產季開鑼 營養價值高 品種多樣鮮採多汁接替上市,112.03.13,行政院農業委員會農糧署
享受綠色旅遊- 踏尋春遊季 淨零輕旅行,112.03.09,行政院環境保護署
森林火災好發期 林火風險評估系統上線 災防告警細胞簡訊提醒,112.03.09,行政院農業委員會林務局
觀霧國家森林遊樂區「霧社櫻王」即將盛開！,112.03.08,行政院農業委員會林務局
灃食公益飲食文化教育基金會發行蔬食季刊No.6 倡導永續飲食行動,112.03.08,灃食公益飲食文化教育基金會
2023池南「璀璨螢星」 3/17開放報名賞螢逐光,112.03.07,行政院農業委員會林務局
極端乾旱 進入山區要提高防火警覺,112.03.06,行政院農業委員會林務局
112年起幸福餐盒預計880.8萬人次受惠，實現零飢餓目標,112.03.06,行政院農業委員會輔導處
水保局攜手家樂福 食際行動挺農村創「黑金」!,112.03.06,行政院農業委員會水土保持局
落實鰻苗禁漁期規定 永續利用鰻苗資源,112.03.06,行政院農業委員會漁業署
認明臺灣米標章 樂饗國產優質米飯美味,112.03.06,行政院農業委員會農糧署
氣候持續影響產蛋量 蛋價波動反映市場供需,112.03.05,行政院農業委員會畜牧處
國產鳳梨釋迦產銷措施成效顯著 穩定產業及農民收益,112.03.04,行政院農業委員會農糧署
雙流推出「森入潛出」的環教遊程 透過「林場體驗」與「趴溪」談森林永續經營,112.03.03,行政院農業委員會林務局
打造縱谷共同「森活圈」、植樹月贈苗活動開跑,112.03.03,行政院農業委員會林務局
臺東林區管理處呼籲山林遊憩及清明掃墓謹慎用火,112.03.03,行政院農業委員會林務局
2023開啟阿里山療癒之森 《櫻與音的對話》《水山療癒步道》3月11日齊登場,112.03.03,行政院農業委員會林務局
「2023臺灣國際蘭展」3月4日起盛大展開,112.03.03,行政院農業委員會農糧署
邀全民響應世界肥胖日 一起認識肥胖 改變觀點互相支持與陪伴,112.03.03,衛生福利部
你農我農 共好共榮CSR實踐與產銷履歷推廣之創新合作模式,112.03.02,行政院農業委員會農糧署
林務局東勢林區管理處啟動 生物多樣性保育校園巡迴列車～ 深入校園與部落 即日免費預約報名,112.03.02,行政院農業委員會林務局
嘉義特映《一隻臺灣黑熊之死》紀錄片 公私協力建構黑熊友善家園,112.03.02,行政院農業委員會林務局
森林裡的螢光海　相約大農大富賞螢趣,112.03.02,行政院農業委員會林務局
亮點成果躍上「森展．台」 林務局南投林管處推出線上虛擬展廳,112.03.01,行政院農業委員會林務局
2023臺灣茶油節精彩揭幕 「品國產茶油 享幸福美味」,112.02.25,行政院農業委員會農糧署
鰻苗禁漁期將於112年3月1日開始！,112.02.24,行政院農業委員會漁業署
食農教育推廣成果暨111年研究成果發表,112.02.22,行政院農業委員會臺南區農業改良場
友善耕作新思維！臺東場辦理鳳梨釋迦優質果園觀摩會,112.02.22,行政院農業委員會臺東區農業改良場
「2023臺灣國際蘭展」站在臺灣最高點 帶您看見蘭花新起點,112.02.22,行政院農業委員會農糧署
野生動物秘徑!大雪山林道新設友善動物通道 捕捉動物珍貴影像,112.02.21,行政院農業委員會林務局
3/1阿里山花季登場 疏運管制要注意,112.02.21,行政院農業委員會林務局
石斑內外銷順暢 輔導產業持續轉型升級,112.02.20,行政院農業委員會漁業署
人氣推薦「原生」原味攏底嘉,112.02.20,行政院農業委員會林務局
新竹林管處攜手山貓森林共同打造苗栗綠網方舟  ,112.02.19,行政院農業委員會林務局
林下經濟，適地發展,112.02.18,行政院農業委員會林務局
《臺灣常見商用木材圖鑑》新書發表會圓滿完成,112.02.18,行政院農業委員會林務局
2023農村好物頒獎 為農村商品認證加值,112.02.18,行政院農業委員會水土保持局
農村再創生．共創城鄉多元發展火花,112.02.18,行政院農業委員會水土保持局
開春享鮮吃午魚 為一整年健康打好底,112.02.18,行政院農業委員會漁業署
迎著溫暖春意，與三貓同行友善田區,112.02.17,行政院農業委員會林務局
百變米穀粉精彩變身 米糧精品館邀您現身體驗,112.02.16,行政院農業委員會農糧署
新加坡通報發生非洲豬瘟，自該國入境旅客違規攜帶豬肉產品將重罰20萬元,112.02.10,行政院農業委員會動植物防疫檢疫局
紐西蘭實施食物原產地資訊規定,112.02.09,行政院食品安全辦公室食品安全資訊網
蛋價決價尊重市場機制 農委會嚴密監控雞蛋產銷 穩定產銷秩序,112.02.06,行政院農業委員會畜牧處
百年深耕世紀躍升 金質場域合作揭牌,112.02.04,行政院農業委員會水土保持局
一場花與鳥的浪漫邂逅 八仙山櫻花現正熱映中,112.02.02,行政院農業委員會林務局
【體驗營】2023食農教育－農村生態體驗活動,112.02.02,臺北市立動物園
從築起一條農業永續之路開始,112.01.19,行政院農業委員會水土保持局
鼓勵校園採購有機食材 學童農友環境皆受益,112.01.18,行政院農業委員會農糧署
國產鳳梨釋迦品質優 通路齊發全民相挺好釋旺旺來,112.01.18,行政院農業委員會農糧署
全國最大遠洋基地前鎮漁港50年來首度更新 奠定我國遠洋漁業百年發展,112.01.17,行政院農業委員會漁業署
推廣全民食農教育　農委會提供雙向計畫研提機制,112.01.16,行政院農業委員會輔導處
2023關山千人蘿蔔季,112.01.12,行政院農業委員會農業易遊網
2023屏東熱帶農業博覽會,112.01.12,行政院農業委員會農業易遊網
抓住後疫情時代趨勢，花改場打造原民作物保種天堂,111.12.28,農委會花蓮區農業改良場
食米教育體驗從中學 讓學童愛上臺灣米好滋味,111.12.28,行政院農業委員會農糧署
國產雜糧食農體驗活動，邀您作伙來,111.12.28,行政院農業委員會農糧署
「做伙來呷飯-國產米食明星大挑戰」食農教育推廣活動,111.12.06,行政院農業委員會輔導處
臺灣國產小麥-十八麥年度新品發表會,111.11.17,行政院農業委員會農糧署中區分署
一直被誤會的水果「青皮椪柑」酸甜好滋味!,111.11.17,行政院農業委員會農糧署南區分署
太康有機食農教育體驗好「食」趣,111.11.17,行政院農業委員會農糧署南區分署
農村樂齡小旅行超夯！新竹寶山友善農村體驗~,111.11.17,行政院農業委員會水土保持局
優遊農村行動策展啟動 藍皮解憂號與您共賞屏東、臺東農村之美~,111.11.17,行政院農業委員會水土保持局
農村的人生活很有趣 水保局的食農教育很親民,111.11.11,行政院農業委員會水土保持局
走！我們米國上學趣~無障礙部落客深度體驗台東關山食農教育,111.11.11,行政院農業委員會水土保持局
「農島嶼」南美館盛大登場 邀您藝起潮生活,111.11.11,行政院農業委員會水土保持局
漁業署11/11攜手海大辦理食魚工作坊，邀民眾品嚐當季白帶魚,111.11.11,行政院農業委員會漁業署漁業廣播電台
11/11(五)~11/14(一) 2022他里霧農食節：幸福島嶼餐桌,111.11.08,農糧署FB粉絲專頁 鮮享農YA - 農糧署
11/5~12/4 小農故事市集,111.11.08,農糧署FB粉絲專頁 鮮享農YA - 農糧署
農遊券加碼「挺在地，農漁GO購購！」(活動已結束),111.11.04,行政院農業委員會水土保持局
11月5日臺東區農業改良場「夯食農 原力現」主題開放日活動,111.11.03,行政院農業委員會臺東區農業改良場
11月12日桃園區農業改良場「都農共食農 循環綠生活」105周年慶暨機關開放日活動,111.11.03,行政院農業委員會桃園區農業改良場
全國公共圖書館巡迴展 食農教育 慢讀好食刻,111.10.27,國立公共資訊圖書館
都市田園家庭種菜樂11月號,111.10.27,臺北市政府產業發展局
來自天堂的果實-臺灣原生種木虌果,111.10.27,行政院農業委員會農糧署東區分署
第一屆農村食農教育推動年會-農村食樂節10月15日開跑,111.10.14,行政院農業委員會水土保持局
食農教育系列推廣講座,111.10.14,國立臺灣大學農業陳列館FB粉絲專頁
推動食農教育結合偏鄉學校加入中央廚房計畫之相關問題與回應,111.10.12,行政院食品安全辦公室(食安辦)
2022臺東慢食節《很香餐桌》,111.10.12,臺東縣政府交通及觀光發展處 
臺灣科學節系列活動-海洋生態廚房永續課程,111.10.12,國立海洋科技博物館
南投世界茶業博覽會,111.10.12,行政院農業委員會農業易遊網
盛夏食農趣-食材尋寶大冒險 得獎名單出爐囉！,111.10.07,食農教育教學資源平臺
食農教育體驗場域不受限 臺東場辦理111年度檸檬香茅及小白菜栽培箱實作研習,111.10.06,行政院農業委員會臺東區農業改良場
天涼好個秋 柿柿好可口,111.10.06,行政院農業委員會農糧署北區分署
食鰻首選「鰻魚之鄉」 品嚐雲林高品質鰻魚正是時候,111.09.30,雲林縣政府農業處
苗栗在地食材好料理 嚴選五道佳餚上菜囉！,111.09.30,行政院農業委員會苗栗區農業改良場
廚房頭號甜心！都是糖品差在哪裡？,111.09.30,衛生福利部食品藥物管理署
【豬豬小偵探】國產豬肉學習單創作比賽開跑！,111.09.22,行政院農業委員會畜牧處
荒草重生-成龍及椬梧濕地環境教育推廣活動,111.09.22,雲林縣政府農業處
「鱻旅奇緣」食魚文化校園講座開跑！ 來一場不一樣的食魚祭典,111.09.22,行政院農業委員會漁業署
秋天與海之約一日活動：興達魚市友善海鮮教育 (已額滿),111.09.15,海洋委員會海洋保育署FB粉絲專頁
2022山上區木瓜節 9月18日登場,111.09.15,臺南市政府農業局
新竹縣畜禽漁產品推廣食農教育-年年有魚,111.09.15,新竹縣政府
文旦一身是寶,111.09.07,行政院農業委員會FB粉絲專頁
餐桌上的知識家-中秋呷健康 烤肉很科學,111.09.07,衛生福利部食品藥物管理署
都會農耕適栽作物檢索表，幫您打造居家小小蔬果農場!,111.09.02,行政院農業委員會桃園區農業改良場
摸蛤剖蚵啖海產,111.09.01,行政院農業委員會林務局嘉義林區管理處
Cream cheese是什麼? 正確選購、保存最重要,111.09.01,衛生福利部食品藥物管理署
Cream cheese搭配主食與蔬果，營養更均衡,111.09.01,衛生福利部食品藥物管理署
盛夏食農趣-食材尋寶大冒險 學生組第三次開獎囉！,111.08.26,食農教育教學資源平臺
農糧署「飯糰嘉年華」 一同為親子創造美好的回憶,111.08.25,行政院農業委員會農糧署
預告訂定「國家食農教育傑出貢獻獎獎勵辦法」,111.08.24,行政院農業委員會
原鄉風味創意便當食譜徵件競賽,111.08.24,行政院農業委員會高雄區農業改良場
新年度的都市田園家庭種菜樂9月號,111.08.24,臺北市政府產業發展局
農業影音獎不停,111.08.23,行政院農業委員會農業虛擬博物館
盛夏食農趣-食材尋寶大冒險 活動時間恢復公告,111.08.19,"食農教育教學資源平臺	"
尋「蜜」！我買的是蜂蜜還是糖漿？！,111.08.16,衛生福利部食品藥物管理署
九月，逆境中看見一片鮮綠,111.08.16,臺北市政府產業發展局
2022 國產米料理達人賽,111.08.16,行政院農業委員會農糧署
臺日水果夏祭 更加甜蜜臺日友誼,111.08.16,行政院農業委員會農糧署
2022「鱻旅奇緣-時食有魚」戶外親子食魚文化園遊會  在高雄！,111.08.05,行政院農業委員會漁業署FB粉絲專頁
親子飯糰擂台競賽活動　即日起至111年8月11日(星期四)止,111.08.05,行政院農業委員會農糧署中區分署 
來漁村旅遊，趁夏體驗漁遊魅力,111.08.04,行政院農業委員會漁業署漁業廣播電台
「2022 魚你相育—食魚教案徵選競賽」延長至8月29日,111.08.04,行政院農業委員會漁業署
